code,per,pbr,roe_pct,equity_ratio_pct,dividend_yield_pct,op_income_yoy_pct,credit_ratio,vol5,vol25,volratio_5_25
215A,34.3,13.14,30.81,,0.0,,1.03,2021000,2911996,0.6940256786067014
3674,,0.89,,,0.0,-14.1,3.18,15520,21660,0.716528162511542
7762,12.5,0.98,7.86,,4.59,0.3,1.89,4208220,1767388,2.3810391379821523
1450,10.3,1.53,14.86,,3.87,2.4,,10940,12652,0.8646854252292128
155A,35.6,5.27,14.21,,0.0,,2.16,1899740,1029456,1.8453824155670568
7453,36.6,5.42,14.82,,0.68,58.2,2.42,13205420,14936615,0.8840972335432091
7013,20.3,4.98,24.46,,0.87,-12.3,2.99,3264140,3281428,0.9947315619906943
3498,17.8,6.02,33.89,,1.33,355.5,1.93,424320,670224,0.633101768960825
6405,12.0,1.31,9.59,,2.23,-94.2,,47600,65676,0.7247700834399172
247A,29.0,29.18,100.6,,0.0,,14523,404580,807676,0.5009186852153586
5621,27.7,5.44,19.63,,1.09,39.6,,69440,79248,0.8762366242681203
3773,12.9,1.48,11.53,,2.6,-28.3,49.01,119800,137484,0.8713741235343749
2593,25.8,1.66,8.97,,1.37,,5.61,380240,454044,0.8374518769106077
7794,,2.35,,,0.0,1,7398,306840,129868,2.3627067483906736
4689,,1.13,5.12,,1.42,-11,36.68,17943020,22433056,0.7998473324365615
6501,26.2,3.21,12.21,,1.05,6.8,10.76,12915520,11134932,1.1599100919520657
6460,17.7,1.81,10.23,,1.74,,4.17,704440,1020344,0.6903946120132034
6702,17.2,3.56,20.65,,0.79,133.7,3.96,4750320,4730788,1.004128699066625
8267,125,5.08,4.09,,0.76,17.8,0.63,4652720,8624003,0.5395081611172909
7595,11.5,1.62,12.78,,3.18,-14.2,47.33,60820,63660,0.9553879987433239
3355,8.5,0.68,8.0,,3.62,6.1,,19200,26780,0.7169529499626587
5803,37.8,9.32,24.66,,1.06,68,0.73,11221020,11569020,0.96991966475985
6855,16.4,1.46,8.91,,1.54,25,7.14,269720,313876,0.8593202411143254
7082,32.8,9.66,29.49,,0.0,-27.7,493.35,106660,258928,0.4119291849471668
7803,16.7,1.9,11.37,,0.75,-17.9,17.96,437240,715180,0.6113705640538046
9984,,2.32,9.98,,0.24,9.2,1.34,15721000,15889500,0.9893955127599987
4592,,159.84,,,0.0,1,592.05,911660,1949040,0.4677482247670648
